file_keys,Swing-Tom-c
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.7
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.85
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.83
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.86
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.77
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.73
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.89
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.97
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.67
bieCPJnxeisisscZXz9DEpegvxkFe8pp,0.87
aqszoUuJrsdCk2Wf8jImSZM0It4xqwdd,0.43
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.83
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.91
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.77
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.39
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.92
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.91
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.76
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.86
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.71
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.89
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.71
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.79
