file_keys,Blues-CH1-a-Repeat
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.75
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.79
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.68
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.68
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.83
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.93
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.89
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.75
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.93
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.78
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.9
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.76
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.77
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.84
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.81
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.77
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.93
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.76
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.87
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.71
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.9
